Nombre;Escala;Detalle;Serie;Year;Embalaje;Peso;Precio
RGM-79N GM Custom ;1/100;Master Grade;MG Gundam ;;6200;612;28,43
RGM-79Q GM Quel ;1/100;Master Grade;MG Gundam ;;6200;533;28,43
RGM-96X Jesta ;1/100;Master Grade;MG Gundam UC;2013;8508,24;668;37,9
RGZ-91 Re-GZ ;1/100;Master Grade;MG Char`s Counter Attack;2001;;806;37,9
RGZ-95 ReZEL ;1/100;Master Grade;MG Gundam UC;2010;10086,16;814;45,48
RGZ-95C ReZEL Commander ;1/100;Master Grade;MG Gundam UC;2011;11243,7;895;47,38
RGZ-95C ReZEL Type-C ;1/100;Master Grade;MG Gundam UC;2013;17734,08;1288;61,59
RMS-099 Rick Dias ;1/100;Master Grade;MG Z Gundam;2004;11695,68;930;34,11
RMS-099 Rick Dias ;1/100;Master Grade;MG Z Gundam;2004;;735;33,16
RMS-106 Hi-Zack ;1/100;Master Grade;MG Z Gundam;2004;6882;612;28,43
RMS-108 Marasai ;1/100;Master Grade;MG Z Gundam;2012;10067,07;762;37,9
RX-0 Full Armor Unicorn Gundam Ver.Ka ;1/100;Master Grade;MG Gundam UC;2011;19091,36;1673;75,8
RX-0 Unicorn Gundam ;1/100;Master Grade;MG Gundam UC;2010;;925;47,38
RX-0 Unicorn Gundam 02 Banshee ;1/100;Master Grade;MG Gundam UC;2012;11243,7;935;52,11
RX-0 Unicorn Gundam 02 Banshee Titanium Finish Ver. ;1/100;Master Grade;MG Gundam UC;2012;13530,99;1007;113,7
RX-0 Unicorn Gundam 02 Banshee Ver.Ka ;1/100;Master Grade;MG Gundam UC;2018;11243,7;941;47,38
RX-0 Unicorn Gundam Ver.Ka ;1/100;Master Grade;MG Gundam UC;2007;;931;47,38
RX-0 Unicorn Gundam Ver.Ka Titanium Finish ;1/100;Master Grade;MG Gundam UC;2009;;924;75,8
RX-178  Mk-II Ver.2.0 Titans ;1/100;Master Grade;MG Z Gundam;2006;;735;33,16
RX-178  Mk-II Ver.2.0 Titans Limited Ver. ;1/100;Master Grade;MG Z Gundam;2008;;806;37,9
RX-178 Gundam Mk-II ;1/100;Master Grade;MG Z Gundam;;;610;26,53
RX-178 Gundam Mk-II ;1/100;Master Grade;MG Z Gundam;;;600;26,53
RX-178 Gundam Mk-II Ver.2.0 A.E.U.G. Limited Ver. ;1/100;Master Grade;MG Z Gundam;2008;;806;37,9
RX-178 Gundam Mk-II Ver.2.0 A.E.U.G. Ver. ;1/100;Master Grade;MG Z Gundam;2014;11522,55;806;37,9
RX-75 Guntank ;1/100;Master Grade;MG Gundam;2009;11626,39;868;45,48
RX-77-2 Gun Cannon ;1/100;Master Grade;MG Gundam;2001;6820;595;28,43
RX-78 GP01 GUNDAM GP01 ZEPHYRANTHES ;1/100;Master Grade;MG Gundam ;;;529;23,69
RX-78 GP01Fb Gundam GP01 Full Vernian ;1/100;Master Grade;MG Gundam ;;;665;28,43
RX-78 GP02A Gundam GP02 PHYSALIS ;1/100;Master Grade;MG Gundam ;;;1001;37,9
RX-78 GP03S Gundam GP03 STAMEN ;1/100;Master Grade;MG Gundam ;;;735;33,16
RX-78-02 Gundam ;1/100;Master Grade;MG The Origin;2017;10455,77;765;53,06
RX-78-02 Gundam ;1/100;Master Grade;MG The Origin;2015;10395,84;725;42,64
RX-78-2 Gundam ;1/100;Master Grade;MG Gundam;;;735;33,16
RX-78-2 Gundam ;1/100;Master Grade;MG Gundam;2005;7068;561;30,32
RX-78-2 Gundam ;1/100;Master Grade;MG Gundam;;6200;620;28,43
RX-78-2 Gundam ;1/100;Master Grade;MG Gundam;;;470;26,53
RX-78-2 Gundam ;1/100;Master Grade;MG Gundam;1995;5435,33;479;23,69
RX-78-2 Gundam Ver. O.Y.W 0079 Animetion Color ;1/100;Master Grade;MG Gundam;2007;6944;540;30,32
RX-78-2 Gundam Ver.2.0 ;1/100;Master Grade;MG Gundam;2008;8472,28;806;39,8
RX-78-2 Gundam Ver.2.0 Titanium Finish ;1/100;Master Grade;MG Gundam;2010;8370;719;75,8
RX-78-2 Gundam Ver.3.0 ;1/100;Master Grade;MG Gundam;2013;10395,84;788;42,64
